TAIR ID;Short name;Full name;downregulated in following transcriptomes;upregulated in following transcriptomes;the number of transcriptomes where registered as DEG (FDR<0.05);start of expression changes;1_logFC_0.5h_PRJEB19862;2_logFC_0.5h_GSE18975;3_logFC_1h_GSE149410;4_logFC_1h_GSE18975;5_logFC_2h_GSE3350;6_logFC_2h_GSE35580;7_logFC_2h_GSE42896;8_logFC_2h_GSE627;9_logFC_3h_GSE18975;10_logFC_3h_GSE58028;11_logFC_4h_SRP033494;12_logFC_4h_GSE42007;13_logFC_4h_GSE7432;14_logFC_6h_SRP102803;15_logFC_6h_GSE3350;16_logFC_6h_GSE42896;17_logFC_6h_GSE59426;18_logFC_8h_GSE42007;19_logFC_12h_GSE42007;20_logFC_18h_GSE59741;21_logFC_24h_GSE42007;22_logFC_55h_SRP074436;23_logFC_72h_SRP214076;FDR_0.5h_PRJEB19862;FDR_0.5h_GSE18975;FDR_1h_GSE149410;FDR_1h_GSE18975;FDR_2h_GSE3350;FDR_2h_GSE35580;FDR_2h_GSE42896;FDR_2h_GSE627;FDR_3h_GSE18975;FDR_3h_GSE58028;FDR_4h_SRP033494;FDR_4h_GSE42007;FDR_4h_GSE7432;FDR_6h_SRP102803;FDR_6h_GSE3350;FDR_6h_GSE42896;FDR_6h_GSE59426;FDR_8h_GSE42007;FDR_12h_GSE42007;FDR_18h_GSE59741;FDR_24h_GSE42007;FDR_55h_SRP074436;FDR_72h_SRP214076
AT3G56190;ALPHA-SNAP2;alpha-soluble NSF attachment protein 2(ALPHA-SNAP2);16;9#22;3;2_3h;;;;;;;;;0.4;;;;;;;-0.5;;;;;;0.3;;;;;;;;;;7.9E-03;;;;;;;1.4E-03;;;;;;6.0E-04;
AT1G65540;LETM2;LETM1-like protein(LETM2);15;9#22;3;2_3h;;;;;;;;;0.3;;;;;;-0.5;;;;;;;0.3;;;;;;;;;;3.6E-02;;;;;;1.7E-02;;;;;;;8.1E-03;
AT1G01230;AT1G01230;ORMDL family protein(AT1G01230);16;9#22;3;2_3h;;;;;;;;;0.4;;;;;;;-0.3;;;;;;0.2;;;;;;;;;;7.6E-03;;;;;;;2.5E-02;;;;;;4.6E-02;
AT1G32790;CID11;CTC-interacting domain 11(CID11);16;9#22;3;2_3h;;;;;;;;;0.2;;;;;;;-0.4;;;;;;0.2;;;;;;;;;;4.4E-02;;;;;;;7.8E-03;;;;;;1.9E-02;
AT2G30770;CYP71A13;cytochrome P450 family 71 polypeptide(CYP71A13);;9#22-23;3;2_3h;;;;;;;;;1.2;;;;;;;;;;;;;6.5;7.2;;;;;;;;;1.3E-03;;;;;;;;;;;;;2.0E-08;1.3E-06
AT1G13470;AT1G13470;hypothetical protein (DUF1262)(AT1G13470);;9#22-23;3;2_3h;;;;;;;;;1.1;;;;;;;;;;;;;4.9;3.7;;;;;;;;;7.4E-05;;;;;;;;;;;;;5.2E-13;3.2E-04
AT1G21240;WAK3;wall associated kinase 3(WAK3);;9#22-23;3;2_3h;;;;;;;;;0.6;;;;;;;;;;;;;2.5;3.4;;;;;;;;;1.2E-03;;;;;;;;;;;;;1.7E-13;1.4E-23
AT2G14610;PR1;pathogenesis-related protein 1(PR1);;9#22-23;3;2_3h;;;;;;;;;1.2;;;;;;;;;;;;;4.9;3.4;;;;;;;;;1.3E-03;;;;;;;;;;;;;1.3E-05;2.6E-02
AT4G23150;CRK7;cysteine-rich RLK (RECEPTOR-like protein kinase) 7(CRK7);;9#22-23;3;2_3h;;;;;;;;;0.7;;;;;;;;;;;;;4.2;3.2;;;;;;;;;3.7E-03;;;;;;;;;;;;;3.3E-15;3.0E-03
AT2G32680;RLP23;receptor like protein 23(RLP23);;9#22-23;3;2_3h;;;;;;;;;0.4;;;;;;;;;;;;;4.6;3.0;;;;;;;;;1.3E-02;;;;;;;;;;;;;1.0E-22;7.8E-05
AT4G38560;AT4G38560;phospholipase-like protein (PEARLI 4) family protein(AT4G38560);;9#22-23;3;2_3h;;;;;;;;;1.4;;;;;;;;;;;;;3.2;3.0;;;;;;;;;1.8E-06;;;;;;;;;;;;;4.6E-15;1.4E-02
AT4G23140;CRK6;cysteine-rich RLK (RECEPTOR-like protein kinase) 6(CRK6);;9#22-23;3;2_3h;;;;;;;;;1.1;;;;;;;;;;;;;5.2;2.9;;;;;;;;;5.7E-06;;;;;;;;;;;;;1.4E-55;1.3E-05
AT4G23230;CRK15;cysteine-rich RECEPTOR-like kinase(CRK15);;9#22-23;3;2_3h;;;;;;;;;0.4;;;;;;;;;;;;;2.6;2.7;;;;;;;;;3.3E-02;;;;;;;;;;;;;5.9E-09;2.4E-06
AT3G23110;RLP37;receptor like protein 37(RLP37);;9#22-23;3;2_3h;;;;;;;;;0.3;;;;;;;;;;;;;1.6;1.6;;;;;;;;;2.7E-02;;;;;;;;;;;;;1.2E-02;1.5E-02
AT1G65790;RK1;receptor kinase 1(RK1);;9#22-23;3;2_3h;;;;;;;;;0.7;;;;;;;;;;;;;0.8;1.5;;;;;;;;;2.1E-04;;;;;;;;;;;;;2.9E-02;1.2E-03
AT3G47090;AT3G47090;Leucine-rich repeat protein kinase family protein(AT3G47090);;9#22-23;3;2_3h;;;;;;;;;0.5;;;;;;;;;;;;;3.0;1.4;;;;;;;;;1.7E-02;;;;;;;;;;;;;3.6E-08;4.8E-03
AT4G22840;AT4G22840;Sodium Bile acid symporter family(AT4G22840);;9#22-23;3;2_3h;;;;;;;;;0.5;;;;;;;;;;;;;1.2;0.9;;;;;;;;;1.4E-03;;;;;;;;;;;;;1.9E-08;1.7E-02
AT5G18900;AT5G18900;2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein(AT5G18900);;9#22-23;3;2_3h;;;;;;;;;0.3;;;;;;;;;;;;;0.8;0.6;;;;;;;;;1.0E-02;;;;;;;;;;;;;2.6E-17;9.1E-04
AT3G03560;AT3G03560;hypothetical protein(AT3G03560);;9#22-23;3;2_3h;;;;;;;;;0.3;;;;;;;;;;;;;0.9;0.5;;;;;;;;;1.6E-02;;;;;;;;;;;;;3.4E-12;1.5E-02
AT5G54430;PHOS32;Adenine nucleotide alpha hydrolases-like superfamily protein(PHOS32);;9#22-23;3;2_3h;;;;;;;;;0.3;;;;;;;;;;;;;0.3;0.4;;;;;;;;;1.6E-02;;;;;;;;;;;;;4.4E-04;5.6E-03
AT3G26220;CYP71B3;cytochrome P450, family 71, subfamily B, polypeptide 3(CYP71B3);16;9#20;3;2_3h;;;;;;;;;0.3;;;;;;;-0.7;;;;2.3;;;;;;;;;;;;1.8E-02;;;;;;;4.7E-02;;;;5.2E-03;;;
AT3G52180;SEX4;dual specificity protein phosphatase (DsPTP1) family protein(SEX4);16;9#20;3;2_3h;;;;;;;;;0.3;;;;;;;-0.7;;;;0.6;;;;;;;;;;;;3.2E-02;;;;;;;5.5E-03;;;;4.9E-02;;;
AT2G39950;AT2G39950;flocculation protein(AT2G39950);22;9#20;3;2_3h;;;;;;;;;0.3;;;;;;;;;;;0.5;;-0.4;;;;;;;;;;2.6E-02;;;;;;;;;;;3.7E-02;;3.2E-02;
AT2G21130;AT2G21130;Cyclophilin-like peptidyl-prolyl cis-trans isomerase family protein(AT2G21130);22;9#20;3;2_3h;;;;;;;;;0.4;;;;;;;;;;;1.5;;-0.4;;;;;;;;;;4.2E-03;;;;;;;;;;;6.2E-03;;2.2E-02;
AT1G07280;AT1G07280;Tetratricopeptide repeat (TPR)-like superfamily protein(AT1G07280);22;9#20;3;2_3h;;;;;;;;;0.4;;;;;;;;;;;1.0;;-0.9;;;;;;;;;;9.7E-03;;;;;;;;;;;3.5E-02;;4.0E-06;
AT3G18500;AT3G18500;DNAse I-like superfamily protein(AT3G18500);22;9#20;3;2_3h;;;;;;;;;0.3;;;;;;;;;;;0.7;;-1.3;;;;;;;;;;1.7E-02;;;;;;;;;;;2.5E-02;;2.8E-12;
AT2G45560;CYP76C1;cytochrome P450, family 76, subfamily C, polypeptide 1(CYP76C1);22;9#20;3;2_3h;;;;;;;;;0.5;;;;;;;;;;;1.0;;-2.6;;;;;;;;;;1.2E-02;;;;;;;;;;;3.3E-02;;6.8E-16;
AT2G39920;AT2G39920;HAD superfamily, subfamily IIIB acid phosphatase(AT2G39920);22;9#20;3;2_3h;;;;;;;;;0.5;;;;;;;;;;;3.0;;-4.0;;;;;;;;;;4.4E-02;;;;;;;;;;;7.1E-03;;1.8E-18;
AT3G56050;AT3G56050;Protein kinase family protein(AT3G56050);22;9#19;3;2_3h;;;;;;;;;0.3;;;;;;;;;;0.7;;;-0.4;;;;;;;;;;4.4E-02;;;;;;;;;;7.9E-03;;;1.0E-03;
AT2G29120;GLR2.7;glutamate receptor 2.7(GLR2.7);;9#18#22;3;2_3h;;;;;;;;;0.6;;;;;;;;;0.4;;;;2.2;;;;;;;;;;9.2E-04;;;;;;;;;2.4E-02;;;;3.7E-06;
AT1G34180;NAC016;NAC domain containing protein 16(NAC016);;9#18#22;3;2_3h;;;;;;;;;0.6;;;;;;;;;0.4;;;;1.8;;;;;;;;;;3.8E-03;;;;;;;;;3.8E-02;;;;2.6E-11;
AT3G04880;DRT102;DNA-damage-repair/toleration protein (DRT102)(DRT102);;9#18#22;3;2_3h;;;;;;;;;0.4;;;;;;;;;0.4;;;;0.3;;;;;;;;;;1.2E-02;;;;;;;;;4.2E-02;;;;3.2E-02;
AT4G29010;AIM1;Enoyl-CoA hydratase/isomerase family(AIM1);16;9#17;3;2_3h;;;;;;;;;0.3;;;;;;;-0.4;0.3;;;;;;;;;;;;;;;4.0E-02;;;;;;;2.7E-03;1.9E-02;;;;;;
AT1G08680;ZIGA4;ARF GAP-like zinc finger-containing protein ZIGA4(ZIGA4);22;9#17;3;2_3h;;;;;;;;;0.4;;;;;;;;0.5;;;;;-0.5;;;;;;;;;;2.5E-02;;;;;;;;3.2E-02;;;;;2.1E-04;
AT1G09140;SR30;SERINE-ARGININE PROTEIN 30(SR30);;9#17#23;3;2_3h;;;;;;;;;0.3;;;;;;;;0.6;;;;;;0.4;;;;;;;;;3.2E-02;;;;;;;;1.2E-03;;;;;;3.6E-02
AT4G19640;ARA7;Ras-related small GTP-binding family protein(ARA7);;9#17#22;3;2_3h;;;;;;;;;0.3;;;;;;;;0.4;;;;;0.6;;;;;;;;;;3.2E-02;;;;;;;;5.5E-03;;;;;2.0E-07;
AT3G58750;CSY2;citrate synthase 2(CSY2);;9#17#22;3;2_3h;;;;;;;;;0.3;;;;;;;;0.5;;;;;0.3;;;;;;;;;;1.8E-02;;;;;;;;1.9E-03;;;;;1.1E-03;
AT4G12240;AT4G12240;zinc finger (C2H2 type) family protein(AT4G12240);18;9#16;3;2_3h;;;;;;;;;0.3;;;;;;;0.6;;-0.5;;;;;;;;;;;;;;3.1E-02;;;;;;;2.3E-03;;1.5E-02;;;;;
AT5G58600;PMR5;Pmr5/Cas1p GDSL/SGNH-like acyl-esterase family protein (DUF828)(PMR5);22;9#16;3;2_3h;;;;;;;;;0.3;;;;;;;0.5;;;;;;-0.6;;;;;;;;;;2.5E-02;;;;;;;3.2E-03;;;;;;5.6E-05;
AT5G55340;AT5G55340;MBOAT (membrane bound O-acyl transferase) family protein(AT5G55340);22;9#16;3;2_3h;;;;;;;;;0.3;;;;;;;0.5;;;;;;-1.3;;;;;;;;;;1.9E-02;;;;;;;3.0E-03;;;;;;3.4E-05;
AT5G44420;PDF1.2;plant defensin 1.2(PDF1.2);22;9#16;3;2_3h;;;;;;;;;1.2;;;;;;;0.6;;;;;;-5.8;;;;;;;;;;3.9E-03;;;;;;;3.7E-04;;;;;;1.1E-11;
AT2G21430;AT2G21430;Papain family cysteine protease(AT2G21430);;9#16-17;3;2_3h;;;;;;;;;0.5;;;;;;;0.7;0.6;;;;;;;;;;;;;;;1.0E-02;;;;;;;2.3E-03;2.1E-03;;;;;;
AT1G02470;AT1G02470;Polyketide cyclase/dehydrase and lipid transport superfamily protein(AT1G02470);;9#16#22;3;2_3h;;;;;;;;;1.1;;;;;;;0.3;;;;;;2.1;;;;;;;;;;9.0E-05;;;;;;;2.1E-02;;;;;;1.5E-07;
AT5G51570;AT5G51570;SPFH/Band 7/PHB domain-containing membrane-associated protein family(AT5G51570);;9#16#22;3;2_3h;;;;;;;;;0.3;;;;;;;0.3;;;;;;0.7;;;;;;;;;;3.7E-02;;;;;;;3.7E-02;;;;;;1.6E-08;
AT5G54930;MNM1;AT hook motif-containing protein(AT5G54930);;9#16#22;3;2_3h;;;;;;;;;0.2;;;;;;;0.3;;;;;;0.7;;;;;;;;;;4.2E-02;;;;;;;4.2E-02;;;;;;1.1E-03;
AT1G77440;PBC2;20S proteasome beta subunit C2(PBC2);;9#16#22;3;2_3h;;;;;;;;;0.4;;;;;;;0.4;;;;;;0.7;;;;;;;;;;2.2E-02;;;;;;;1.3E-02;;;;;;9.9E-11;
AT1G74340;DPMS2;dolichol phosphate-mannose biosynthesis regulatory protein-like protein(DPMS2);;9#16#22;3;2_3h;;;;;;;;;0.4;;;;;;;0.3;;;;;;0.6;;;;;;;;;;3.3E-03;;;;;;;3.6E-02;;;;;;1.8E-06;
AT1G76140;AT1G76140;Prolyl oligopeptidase family protein(AT1G76140);;9#15-16;3;2_3h;;;;;;;;;0.3;;;;;;0.4;0.4;;;;;;;;;;;;;;;;2.0E-02;;;;;;3.1E-02;8.8E-03;;;;;;;
AT1G19370;AT1G19370;membrane protein(AT1G19370);;9#15-16;3;2_3h;;;;;;;;;0.4;;;;;;0.4;0.4;;;;;;;;;;;;;;;;2.3E-02;;;;;;2.1E-02;3.9E-03;;;;;;;
AT2G36485;AT2G36485;;;9#15-16;3;2_3h;;;;;;;;;0.4;;;;;;0.4;0.4;;;;;;;;;;;;;;;;8.6E-03;;;;;;4.4E-02;5.9E-03;;;;;;;
AT3G19930;STP4;sugar transporter 4(STP4);15;9#12;3;2_3h;;;;;;;;;0.4;;;0.5;;;-0.6;;;;;;;;;;;;;;;;;5.5E-03;;;3.5E-02;;;9.8E-03;;;;;;;;
AT2G03500;EFM;Homeodomain-like superfamily protein(AT2G03500);16;9#11;3;2_3h;;;;;;;;;0.3;;0.7;;;;;-0.7;;;;;;;;;;;;;;;;4.6E-02;;8.9E-04;;;;;3.6E-03;;;;;;;
AT3G55450;PBL1;PBS1-like 1(PBL1);22;9#11;3;2_3h;;;;;;;;;0.4;;0.3;;;;;;;;;;;-0.3;;;;;;;;;;7.8E-03;;6.4E-03;;;;;;;;;;;2.6E-02;
AT5G02860;AT5G02860;Pentatricopeptide repeat (PPR) superfamily protein(AT5G02860);22;9#11;3;2_3h;;;;;;;;;0.3;;0.6;;;;;;;;;;;-1.2;;;;;;;;;;2.8E-02;;1.3E-03;;;;;;;;;;;1.5E-13;
AT5G49690;AT5G49690;UDP-Glycosyltransferase superfamily protein(AT5G49690);;9#11#22;3;2_3h;;;;;;;;;0.4;;1.0;;;;;;;;;;;5.0;;;;;;;;;;2.5E-02;;3.4E-02;;;;;;;;;;;6.6E-57;
AT2G16600;ROC3;rotamase CYP 3(ROC3);;9#11#22;3;2_3h;;;;;;;;;0.4;;0.2;;;;;;;;;;;1.3;;;;;;;;;;2.9E-03;;2.9E-04;;;;;;;;;;;6.8E-26;
AT1G22300;GRF10;general regulatory factor 10(GRF10);;9#11#22;3;2_3h;;;;;;;;;0.2;;0.1;;;;;;;;;;;0.9;;;;;;;;;;4.3E-02;;2.9E-02;;;;;;;;;;;2.1E-19;
AT5G58290;RPT3;regulatory particle triple-A ATPase 3(RPT3);;9#11#22;3;2_3h;;;;;;;;;0.2;;0.2;;;;;;;;;;;0.7;;;;;;;;;;4.7E-02;;8.9E-03;;;;;;;;;;;4.6E-13;
AT5G04410;NAC2;NAC domain containing protein 2(NAC2);;9#11#22;3;2_3h;;;;;;;;;0.3;;0.3;;;;;;;;;;;0.6;;;;;;;;;;2.2E-02;;1.0E-03;;;;;;;;;;;6.0E-07;
AT2G17220;Kin3;Protein kinase superfamily protein(Kin3);;9#11#17;3;2_3h;;;;;;;;;0.5;;0.4;;;;;;0.8;;;;;;;;;;;;;;;1.5E-03;;1.8E-03;;;;;;4.2E-04;;;;;;
AT5G05880;UGT76C4;UDP-Glycosyltransferase superfamily protein(AT5G05880);;9#11#16;3;2_3h;;;;;;;;;0.4;;0.3;;;;;1.5;;;;;;;;;;;;;;;;9.3E-03;;2.1E-02;;;;;4.3E-05;;;;;;;
AT5G38240;AT5G38240;Protein kinase family protein(AT5G38240);;9#11#16;3;2_3h;;;;;;;;;0.3;;8.4;;;;;1.3;;;;;;;;;;;;;;;;3.6E-02;;2.1E-07;;;;;5.6E-05;;;;;;;
AT1G65560;AT1G65560;Zinc-binding dehydrogenase family protein(AT1G65560);;9#11#16;3;2_3h;;;;;;;;;0.3;;0.5;;;;;0.5;;;;;;;;;;;;;;;;3.1E-02;;1.2E-02;;;;;9.2E-03;;;;;;;
AT1G06740;;MuDR family transposase(MUG3);;9#11#16;3;2_3h;;;;;;;;;0.3;;0.6;;;;;0.4;;;;;;;;;;;;;;;;3.4E-02;;4.8E-02;;;;;1.4E-02;;;;;;;
AT2G29330;TRI;tropinone reductase(TRI);;9#11#15;3;2_3h;;;;;;;;;0.7;;0.5;;;;0.9;;;;;;;;;;;;;;;;;2.1E-03;;1.1E-04;;;;2.6E-02;;;;;;;;
AT5G04190;PKS4;phytochrome kinase substrate 4(PKS4);9;8#22;3;2_3h;;;;;;;;2.0;-0.6;;;;;;;;;;;;;2.6;;;;;;;;;2.0E-04;3.6E-03;;;;;;;;;;;;;8.3E-05;
AT1G10740;AT1G10740;alpha/beta-Hydrolases superfamily protein(AT1G10740);;8#20#22;3;2_3h;;;;;;;;0.7;;;;;;;;;;;;0.6;;0.7;;;;;;;;;2.7E-02;;;;;;;;;;;;4.2E-02;;7.2E-05;
AT3G28380;ABCB17;P-glycoprotein 17(ABCB17);9#16;7;3;2_3h;;;;;;;0.3;;-0.3;;;;;;;;-0.4;;;;;;;;;;;;;4.5E-02;;1.5E-02;;;;;;;;3.2E-02;;;;;;
AT5G10260;RABH1e;RAB GTPase homolog H1E(RABH1e);11#17;7;3;2_3h;;;;;;;0.4;;;;-0.8;;;;;;-0.4;;;;;;;;;;;;;2.0E-02;;;;1.5E-05;;;;;;2.1E-02;;;;;;
AT2G23000;scpl10;serine carboxypeptidase-like 10(scpl10);9#18;7;3;2_3h;;;;;;;0.7;;-0.6;;;;;;;;;-0.8;;;;;;;;;;;;6.3E-03;;1.3E-02;;;;;;;;;1.4E-02;;;;;
AT2G18190;AT2G18190;P-loop containing nucleoside triphosphate hydrolases superfamily protein(AT2G18190);18-19;7;3;2_3h;;;;;;;0.7;;;;;;;;;;;-0.9;-0.7;;;;;;;;;;;4.2E-03;;;;;;;;;;;1.7E-02;1.5E-02;;;;
AT1G80640;AT1G80640;Protein kinase superfamily protein(AT1G80640);9#22;7;3;2_3h;;;;;;;0.5;;-0.5;;;;;;;;;;;;;-1.1;;;;;;;;1.8E-02;;1.4E-03;;;;;;;;;;;;;2.5E-15;
AT5G19100;AT5G19100;Eukaryotic aspartyl protease family protein(AT5G19100);11#22;7;3;2_3h;;;;;;;0.6;;;;-1.1;;;;;;;;;;;-1.3;;;;;;;;2.8E-02;;;;3.7E-04;;;;;;;;;;;6.5E-04;
AT2G43530;AT2G43530;scorpion toxin-like knottin superfamily protein(AT2G43530);10#22;7;3;2_3h;;;;;;;1.4;;;-0.5;;;;;;;;;;;;-2.6;;;;;;;;1.0E-02;;;4.0E-02;;;;;;;;;;;;1.7E-14;
AT4G36930;SPT;basic helix-loop-helix (bHLH) DNA-binding superfamily protein(SPT);22;7#8;3;2_3h;;;;;;;0.3;;0.6;;;;;;;;;;;;;-0.5;;;;;;;;2.8E-02;;8.9E-04;;;;;;;;;;;;;6.5E-03;
AT1G24150;FH4;formin homologue 4(FH4);;7#8#23;3;2_3h;;;;;;;0.3;;0.4;;;;;;;;;;;;;;0.9;;;;;;;4.1E-02;;4.7E-02;;;;;;;;;;;;;;1.6E-02
AT2G19650;AT2G19650;Cysteine/Histidine-rich C1 domain family protein(AT2G19650);9;7#23;3;2_3h;;;;;;;0.6;;-0.5;;;;;;;;;;;;;;1.3;;;;;;;2.9E-02;;1.3E-02;;;;;;;;;;;;;;4.6E-03
AT1G72120;NPF5.14;Major facilitator superfamily protein(AT1G72120);11;7#23;3;2_3h;;;;;;;0.3;;;;-0.7;;;;;;;;;;;;1.2;;;;;;;2.4E-02;;;;2.9E-03;;;;;;;;;;;;5.4E-03
AT3G60440;AT3G60440;Phosphoglycerate mutase family protein(AT3G60440);17;7#22;3;2_3h;;;;;;;0.7;;;;;;;;;;-0.7;;;;;0.6;;;;;;;;3.8E-02;;;;;;;;;;2.5E-03;;;;;1.7E-05;
AT3G48030;AT3G48030;hypoxia-responsive family protein / zinc finger (C3HC4-type RING finger) family protein(AT3G48030);16;7#22;3;2_3h;;;;;;;0.7;;;;;;;;;-0.6;;;;;;0.5;;;;;;;;4.5E-03;;;;;;;;;1.4E-03;;;;;;8.6E-05;
AT1G02450;NIMIN1;NIM1-interacting 1(NIMIN1);;7#22-23;3;2_3h;;;;;;;0.4;;;;;;;;;;;;;;;5.0;3.2;;;;;;;3.7E-02;;;;;;;;;;;;;;;6.7E-31;5.5E-03
AT5G25820;AT5G25820;Exostosin family protein(AT5G25820);;7#22-23;3;2_3h;;;;;;;0.4;;;;;;;;;;;;;;;1.4;1.7;;;;;;;4.0E-02;;;;;;;;;;;;;;;1.3E-08;2.0E-02
AT4G36760;APP1;aminopeptidase P1(APP1);;7#20#22;3;2_3h;;;;;;;0.3;;;;;;;;;;;;;0.6;;0.9;;;;;;;;4.3E-02;;;;;;;;;;;;;3.9E-02;;3.2E-21;
AT5G01200;AT5G01200;Duplicated homeodomain-like superfamily protein(AT5G01200);16;7#17;3;2_3h;;;;;;;0.7;;;;;;;;;-0.6;0.4;;;;;;;;;;;;;3.8E-03;;;;;;;;;3.7E-03;4.7E-02;;;;;;
AT1G51780;ILL5;IAA-amino acid hydrolase ILR1-like 5(ILL5);18;7#17;3;2_3h;;;;;;;0.5;;;;;;;;;;0.3;-0.5;;;;;;;;;;;;1.6E-02;;;;;;;;;;3.3E-02;1.7E-02;;;;;
AT3G17615;;;19;7#17;3;2_3h;;;;;;;0.5;;;;;;;;;;0.5;;-0.5;;;;;;;;;;;8.0E-03;;;;;;;;;;3.5E-03;;4.0E-02;;;;
AT2G28710;AT2G28710;C2H2-type zinc finger family protein(AT2G28710);21;7#17;3;2_3h;;;;;;;1.1;;;;;;;;;;0.6;;;;-1.1;;;;;;;;;2.0E-03;;;;;;;;;;2.3E-02;;;;4.8E-02;;
AT4G25230;RIN2;RPM1 interacting protein 2(RIN2);;7#17#22;3;2_3h;;;;;;;0.5;;;;;;;;;;0.5;;;;;0.3;;;;;;;;1.1E-02;;;;;;;;;;8.8E-03;;;;;2.7E-02;
AT3G62510;AT3G62510;disulfide isomerase-like protein(AT3G62510);4;7#16;3;1h;;;;-0.3;;;0.5;;;;;;;;;0.3;;;;;;;;;;;4.6E-02;;;2.8E-02;;;;;;;;;2.6E-02;;;;;;;
AT1G69150;AT1G69150;Cysteine/Histidine-rich C1 domain family protein(AT1G69150);17;7#16;3;2_3h;;;;;;;2.2;;;;;;;;;0.6;-0.8;;;;;;;;;;;;;9.8E-03;;;;;;;;;1.1E-02;3.6E-04;;;;;;
AT3G14000;ATBRXL2;DZC (Disease resistance/zinc finger/chromosome condensation-like region) domain containing protein(ATBRXL2);22;7#16;3;2_3h;;;;;;;0.7;;;;;;;;;0.7;;;;;;-0.6;;;;;;;;6.7E-03;;;;;;;;;3.7E-04;;;;;;8.5E-04;
AT1G29230;CIPK18;CBL-interacting protein kinase 18(CIPK18);;7#16-17;3;2_3h;;;;;;;0.6;;;;;;;;;0.7;0.4;;;;;;;;;;;;;2.3E-03;;;;;;;;;2.0E-02;2.8E-02;;;;;;
AT2G34630;GPS1;geranyl diphosphate synthase 1(GPS1);;7#16#22;3;2_3h;;;;;;;0.4;;;;;;;;;0.4;;;;;;0.5;;;;;;;;3.6E-02;;;;;;;;;5.7E-03;;;;;;8.8E-06;
AT1G51350;AT1G51350;ARM repeat superfamily protein(AT1G51350);;7#16#22;3;2_3h;;;;;;;0.4;;;;;;;;;0.6;;;;;;0.3;;;;;;;;1.9E-02;;;;;;;;;3.1E-03;;;;;;4.3E-02;
AT5G09500;AT5G09500;Ribosomal protein S19 family protein(AT5G09500);;7#16#18;3;2_3h;;;;;;;0.3;;;;;;;;;0.6;;0.5;;;;;;;;;;;;4.9E-02;;;;;;;;;6.5E-04;;3.9E-02;;;;;
AT5G59460;AT5G59460;scarecrow-like transcription factor 11 (SCL11)(AT5G59460);;7#15-16;3;2_3h;;;;;;;0.5;;;;;;;;1.2;1.4;;;;;;;;;;;;;;9.9E-03;;;;;;;;1.1E-03;4.4E-06;;;;;;;
AT1G62010;AT1G62010;Mitochondrial transcription termination factor family protein(AT1G62010);;7#15-16;3;2_3h;;;;;;;0.3;;;;;;;;0.8;1.1;;;;;;;;;;;;;;3.8E-02;;;;;;;;2.9E-03;2.0E-05;;;;;;;
AT5G06810;AT5G06810;transcription termination factor family protein(AT5G06810);;7#15-16;3;2_3h;;;;;;;0.5;;;;;;;;0.7;0.9;;;;;;;;;;;;;;2.7E-02;;;;;;;;4.5E-03;1.6E-04;;;;;;;
AT4G33525;;;;7#15-16;3;2_3h;;;;;;;0.4;;;;;;;;0.8;0.7;;;;;;;;;;;;;;2.8E-02;;;;;;;;4.7E-03;1.0E-03;;;;;;;
AT5G62880;RAC10;RAC-like 10(RAC10);;7#15-16;3;2_3h;;;;;;;0.4;;;;;;;;0.6;0.7;;;;;;;;;;;;;;1.9E-02;;;;;;;;1.5E-02;2.8E-04;;;;;;;
AT4G20950;;;;7#15-16;3;2_3h;;;;;;;0.6;;;;;;;;0.7;0.7;;;;;;;;;;;;;;6.4E-03;;;;;;;;4.4E-03;2.5E-03;;;;;;;
AT5G15640;AT5G15640;Mitochondrial substrate carrier family protein(AT5G15640);;7#15-16;3;2_3h;;;;;;;0.4;;;;;;;;0.4;0.3;;;;;;;;;;;;;;1.5E-02;;;;;;;;2.8E-02;2.3E-02;;;;;;;
AT4G04700;CPK27;calcium-dependent protein kinase 27(CPK27);;7#12#16;3;2_3h;;;;;;;0.6;;;;;0.6;;;;0.6;;;;;;;;;;;;;;9.4E-03;;;;;1.5E-02;;;;4.3E-03;;;;;;;
AT1G76340;GONST3;golgi nucleotide sugar transporter 3(GONST3);;7#12#16;3;2_3h;;;;;;;0.5;;;;;0.5;;;;0.4;;;;;;;;;;;;;;7.3E-03;;;;;3.3E-02;;;;1.5E-02;;;;;;;
AT1G03250;AT1G03250;R3H domain protein(AT1G03250);;7#11#22;3;2_3h;;;;;;;0.3;;;;0.4;;;;;;;;;;;0.6;;;;;;;;4.1E-02;;;;1.7E-03;;;;;;;;;;;2.1E-05;
AT2G25530;AT2G25530;AFG1-like ATPase family protein(AT2G25530);;7#11#17;3;2_3h;;;;;;;0.6;;;;0.7;;;;;;0.5;;;;;;;;;;;;;3.4E-02;;;;8.1E-06;;;;;;1.2E-03;;;;;;
AT2G33680;AT2G33680;Tetratricopeptide repeat (TPR)-like superfamily protein(AT2G33680);;7#11#16;3;2_3h;;;;;;;0.4;;;;0.5;;;;;1.8;;;;;;;;;;;;;;3.7E-02;;;;7.1E-03;;;;;5.9E-06;;;;;;;
AT5G15700;AT5G15700;DNA/RNA polymerases superfamily protein(AT5G15700);;7#11#16;3;2_3h;;;;;;;0.7;;;;1.0;;;;;1.3;;;;;;;;;;;;;;8.6E-03;;;;2.5E-20;;;;;1.4E-05;;;;;;;
